FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,latitude,longitude,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop
Columbus Residence,9BHG7,Vancouver Coastal Health,PNP,704 West 69th Avenue,Vancouver,V6P2W3,Community Care & Assisted Living Act,Accredited,76,74,1,0,49.208775,-123.121,0,True,True,0.0
Comox Valley Seniors Village,936F0,Vancouver Island Health,PFP,4640 Headquarters Rd.,Courtenay,V9N7J3,Community Care & Assisted Living Act,Accredited,136,128,4,0,49.702595,-124.99339,0,True,True,0.11029411764705882
Cormorant Island Health Centre,9A72D,Vancouver Island Health,HA,49 School Road,Alert Bay,V0N1A0,Hospital Act,Accredited,10,10,0,0,50.594297,-126.9423575,0,True,True,0.0
Cottage and Worthington Pavilions - MSA Hospital,9A6GA,Fraser Health,HA,33457 Cottage Lane,Abbotsford,V2S0B3,Hospital Act,Unknown,119,11,6,24,49.04118560000001,-122.2963164,1,True,True,0.0
Cottonwoods Care Centre,9A6EF,Interior Health,HA,2255 Ethel Street,Kelowna,V1Y2Z9,Hospital Act,Accredited,221,34,29,33,49.8729257,-119.482555,0,True,True,0.0
Creekside Landing,934BA,Interior Health,PFP,6190 Okanagan Landing Rd,Vernon,V1H1M3,Community Care & Assisted Living Act,Accredited,70,70,0,0,50.2465633,-119.3223493,0,True,True,0.0
Crescent Gardens,91GD7,Fraser Health,PFP,1222 King George Boulevard,Surrey,V4A9W6,Community Care & Assisted Living Act,Unknown,75,69,3,0,49.02467100000001,-122.76523600000002,0,True,True,0.29333333333333333
Crest View Village,92DG0,Interior Health,PFP,800 Cavell Street,Creston,V0B1G4,Community Care & Assisted Living Act,Accredited,32,32,0,0,49.1042985,-116.5148918,0,True,True,0.0625
Cumberland Lodge,995I0,Vancouver Island Health,HA,2696 Windermere Ave,Cumberland,V0R1S0,Community Care & Assisted Living Act,Accredited,66,40,13,0,49.62206725,-125.03102586836599,0,True,False,0.0
Czorny Alzheimer Centre,9327A,Fraser Health,HA,16850 66th Avenue,Surrey,V3S5M1,Hospital Act,Unknown,72,72,0,0,49.12241,-122.75509,1,False,False,0.0
Dania Home,99C1E,Fraser Health,PNP,4175 Norland Avenue,Burnaby,V5G3S7,Community Care & Assisted Living Act,Accredited,102,102,0,0,49.247584,-122.975187,1,True,True,0.0
David Lloyd Jones Home,99127,Interior Health,HA,934 Bernard Ave,Kelowna,V1Y6P8,Community Care & Assisted Living Act,Accredited,64,64,0,0,49.8869222,-119.4815286,0,True,True,0.0
Delta View Habilitation Centre,9C280,Fraser Health,PFP,9341 Burns Drive,Delta,V4K3N3,Hospital Act,Accredited,80,72,4,0,49.09220420000001,-122.96504725675072,0,True,True,0.1125
Delta View Life Enrichment Centre,9940H,Fraser Health,PFP,9321 Burns Drive,Delta,V4K3N3,Hospital Act,Accredited,212,172,20,0,49.09130415,-122.96486604215154,1,True,True,0.29245283018867924
Deni House,93B40,Interior Health,HA,517 6th Ave N.,Williams Lake,V2G2G8,Hospital Act,Accredited,28,13,0,5,52.1378197,-122.1436286,0,True,False,0.0
Discovery Harbour Seniors Community,9353A,Vancouver Island Health,PFP,850 14th Avenue,Campbell River,V9W4H4,Community Care & Assisted Living Act,Unknown,142,90,4,0,50.0293746,-125.2748504,0,True,True,0.0
Dogwood Lodge,999F1,Vancouver Coastal Health,HA,500 West 57th Avenue,Vancouver,V6P6E8,Community Care & Assisted Living Act,Accredited,83,83,0,0,49.218578,-123.118,0,True,True,0.0
Dr. Andrew Pavilion - Summerland Health Centre,9AJF4,Interior Health,HA,12815 Atkinson Rd.,Summerland,V0H1Z0,Hospital Act,Accredited,50,4,5,8,49.6027035,-119.6679222,0,True,True,0.0
Dr. F. W. Green Memorial Home,98F1A,Interior Health,HA,1700 4th Street St. South,Cranbrook,V1C6E1,Community Care & Assisted Living Act,Accredited,58,60,0,0,49.50527,-115.75737,0,False,True,0.0
Dufferin Care Centre,919C4,Fraser Health,PFP,1131 Dufferin St,Coquitlam,V3B7X5,Hospital Act,Accredited,153,0,0,0,49.2791682,-122.80399579999998,1,False,False,0.16339869281045752
Dufferin Place,9A6D2,Vancouver Island Health,HA,1200 Dufferin Crescent,Nanaimo,V9S2B7,Hospital Act,Accredited,146,14,8,29,49.1848743,-123.96984534779169,0,True,True,0.0
Dunrovin Park Lodge,99617,Northern Health,HA,900 St Laurent Avenue,Quesnel,V2J3S3,Community Care & Assisted Living Act,Accredited,117,107,3,0,52.979626,-122.48601,0,True,True,0.0
Eagle Park Health Care Facility,9154A,Vancouver Island Health,HA,777 Jones St,Qualicum Beach,V9K2L1,Hospital Act,Accredited,75,55,20,0,49.3409296,-124.4492447,0,True,True,0.0
Eagle Ridge Manor - Port Hardy,923C0,Vancouver Island Health,HA,9120 Granville Street,Port Hardy,V0N2P0,Hospital Act,Accredited,22,22,0,0,50.71997325,-127.5028512640254,0,True,True,0.0
Eagle Ridge Manor - Port Moody,9C6EC,Fraser Health,HA,475 Guildford Way,Port Moody,V3H3W9,Hospital Act,Unknown,75,39,18,0,49.28553745,-122.82369973641943,0,True,True,0.0
Echo Village,9C2F7,Vancouver Island Health,PNP,4200 10th Avenue,Port Alberni,V9Y4X3,Hospital Act,Accredited,67,67,0,0,49.2367453,-124.7978368,0,True,False,0.029850746268656716
Eden Care Centre,9AB4F,Fraser Health,PFP,9100 Charles Street,Chilliwack,V2P5K6,Community Care & Assisted Living Act,Not Accredited,89,89,0,0,49.1672383,-121.9419001,1,True,True,0.0
Eden Gardens,9951E,Vancouver Island Health,PNP,1917 Northfield Road,Nanaimo,V9S3B6,Community Care & Assisted Living Act,Unknown,130,130,0,0,49.191744,-123.98389,0,True,True,0.0
Elim Village - The Harrison / Harrison West,9371A,Fraser Health,PNP,9025 160 Street,Surrey,V4N2X7,Community Care & Assisted Living Act,Accredited,194,181,6,0,49.167023,-122.7815006,1,True,True,0.09278350515463918
Evergreen - The Terraces / The Pointe,99420,Fraser Health,PNP,1550 Oxford St,White Rock,V4B3R5,Community Care & Assisted Living Act,Accredited,252,252,0,0,49.0264665,-122.8122029,0,True,True,0.011904761904761904
Evergreen Extended Care - Powell River Hospital,9A551,Vancouver Coastal Health,HA,4970 Joyce Ave.,Powell River,V8A5P2,Hospital Act,Accredited,75,6,4,15,49.8489957,-124.5226255,0,True,True,0.0
Evergreen House - Lions Gate Hospital,9A55C,Vancouver Coastal Health,HA,231 East 15th Street,North Vancouver,V7L2L7,Hospital Act,Accredited,289,22,11,60,49.32097835,-123.06767192461285,1,True,True,0.0
Evergreen Seniors Home,92J70,Vancouver Island Health,PFP,635 Evergreen Rd,Campbell River,V9W3R7,Community Care & Assisted Living Act,Accredited,64,60,1,0,50.007318,-125.24818,0,True,True,0.65625
Fair Haven - Burnaby,99C49,Fraser Health,PNP,7557 Sussex Ave.,Burnaby,V5J3V6,Community Care & Assisted Living Act,Accredited,100,100,0,0,49.21526995,-123.0059056805597,0,True,True,0.0
Fair Haven - Vancouver,999HG,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,Community Care & Assisted Living Act,Accredited,82,70,6,0,49.225452,-123.0365843,0,True,True,0.0
Fair Haven - Vancouver - Special Unit,93860,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,Community Care & Assisted Living Act,Accredited,19,19,0,0,49.225452,-123.0365843,0,True,True,0.0
Fellburn Care Centre,9A575,Fraser Health,HA,6050 Hastings St.,Burnaby,V5B1R6,Hospital Act,Accredited,81,10,16,10,49.2803168,-122.9624341,0,True,True,0.0
Finnish Home,999CF,Vancouver Coastal Health,PNP,2288 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Not Accredited,64,64,0,0,49.20822879999999,-123.06074540000002,0,True,True,0.0
Fir Park Village,9A919,Vancouver Island Health,PNP,4411 Wallace Street,Port Alberni,V9Y7Y5,Community Care & Assisted Living Act,Accredited,66,66,0,0,49.250749,-124.79915,0,True,False,0.015151515151515152
Fischer Place/Mill Site Lodge,9B9DF,Interior Health,HA,555 Cedar Ave. South,100 Mile House,V0K2E0,Hospital Act & Community Care & Assisted Living Act,Accredited,93,93,0,0,51.6444141,-121.2939045,0,True,False,0.0
Fleetwood Place,993E2,Fraser Health,PFP,16011 83rd Ave,Surrey,V4N0N2,Community Care & Assisted Living Act,Accredited,111,108,0,0,49.153895,-122.778049,0,True,True,0.11711711711711711
Forest View Place,92960,Interior Health,HA,640 Park Dr.,Clearwater,V0E1N1,Hospital Act,Accredited,21,21,0,0,51.64507195,-120.01774781423934,0,True,True,0.0
Fort Langley Seniors Community,9ACEC,Fraser Health,PFP,8838 Glover Road,Langley,V1M2R4,Hospital Act,Unknown,96,68,14,0,49.1132513,-122.6442649,0,True,True,0.052083333333333336
Fort Nelson Multi Level Unit,91552,Northern Health,HA,5315 Liard St,Fort Nelson,V0C1R0,Hospital Act,Accredited,7,7,0,0,58.80894549999999,-122.7049735049242,0,False,False,0.0
Foyer Maillard,992J9,Fraser Health,PNP,1010 Alderson Avenue,Coquitlam,V3K1W1,Community Care & Assisted Living Act,Not Accredited,125,125,0,0,49.23926289999999,-122.8662457,0,True,True,0.0
Fraser Hope Lodge,9BJC6,Fraser Health,HA,1275-7th Avenue,Hope,V0X1L4,Hospital Act,Unknown,50,46,2,0,49.3773925,-121.42378463532327,0,True,True,0.0
Fraserview,99BEI,Vancouver Coastal Health,PFP,9580 Williams Road,Richmond,V7A1H2,Community Care & Assisted Living Act,Accredited,101,33,37,0,49.140789700000006,-123.1141556,0,True,True,0.0
Gateway Lodge Residential Care,937I0,Northern Health,HA,1488 20th Ave.,Prince George,V2L0A5,Community Care & Assisted Living Act,Accredited,120,120,0,0,53.905584,-122.7520213,0,True,True,0.0
George Derby Centre,9BC9J,Fraser Health,PNP,7550 Cumberland St,Burnaby,V3N3X5,Community Care & Assisted Living Act,Accredited,300,284,8,0,49.23360200000001,-122.916488,1,True,True,0.0
George Pearson Centre,9A5BF,Vancouver Coastal Health,HA,700 West 57th Ave.,Vancouver,V6P1S1,Hospital Act,Accredited,114,54,13,7,49.21877,-123.121144,0,True,False,0.0
German Canadian Care Home,999D6,Vancouver Coastal Health,PNP,2010 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Accredited,132,76,29,0,49.2098793,-123.0651145,1,True,True,0.0
Gillis House,9AAGI,Interior Health,HA,1699 Tutill Court,Merritt,V1K1C6,Hospital Act & Community Care & Assisted Living Act,Accredited,74,52,7,2,50.1075263,-120.7861348,0,True,True,0.0
Glacier View Lodge,99605,Vancouver Island Health,PNP,2450 Back Road,Courtenay,V9N8B5,Community Care & Assisted Living Act,Accredited,102,102,0,0,49.690363,-124.96434,0,True,True,0.0
Glengarry Hospital,9A60F,Vancouver Island Health,HA,1780 Fairfield Rd.,Victoria,V8S1G7,Hospital Act,Accredited,135,10,18,34,48.4152829,-123.3318857,0,False,True,0.0
Glenmore Lodge,93GE4,Interior Health,PFP,325 Drysdale Blvd.,Kelowna,V1V1P5,Community Care & Assisted Living Act,Unknown,118,0,0,0,49.9163179,-119.4400778,0,False,False,0.15254237288135594
Glenwarren Lodge,9B7A0,Vancouver Island Health,PFP,1230 Balmoral Rd,Victoria,V8T1B3,Hospital Act,Accredited,104,46,20,11,48.4283883,-123.3486649,0,True,True,0.0
Glenwood Seniors Community,923FA,Fraser Health,PFP,1458 Glenwood Dr,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,44,37,0,0,49.2308549,-121.75817859999998,0,True,True,0.18181818181818182
Gorge Road Hospital,93000,Vancouver Island Health,HA,63 Gorge Road East,Victoria,V9A1L2,Hospital Act,Accredited,111,11,4,27,48.44178385,-123.38810164430215,0,True,True,0.0
Greenwoods,99DD4,Vancouver Island Health,PNP,133 Blain Road,Salt Spring Island,V8K1Z9,Community Care & Assisted Living Act,Accredited,51,51,0,0,48.86170900000001,-123.51033,0,False,True,0.0
Guildford Seniors Village,926CA,Fraser Health,PFP,14568 104a Ave.,Surrey,V3R1R3,Community Care & Assisted Living Act,Accredited,101,98,0,0,49.192422,-122.8183,1,True,True,0.37623762376237624
Haida Gwaii Hospital and Health Centre,9A76C,Northern Health,HA,3209 Oceanview Drive,Queen Charlotte,V0T1S0,Hospital Act,Accredited,8,0,2,2,53.254868,-132.070526,0,False,False,0.0
Hardy View Lodge,9ADB9,Interior Health,HA,7649 22nd St.,Grand Forks,V0H1H2,Community Care & Assisted Living Act,Accredited,80,78,2,0,49.030261,-118.467798,0,True,True,0.0
Harmony Court Care Centre,91BCE,Fraser Health,PFP,7195 Canada Way,Burnaby,V5E3R7,Community Care & Assisted Living Act,Unknown,55,7,24,0,49.224537,-122.942499,0,False,True,0.0
Harmony Court Care Centre  - Special Unit,93A2A,Fraser Health,PFP,7195 Canada Way,Burnaby,V5E3R7,Community Care & Assisted Living Act,Unknown,25,25,0,0,49.25340870000001,-122.989119,0,False,True,0.0
Haro Park Centre,9A4I4,Vancouver Coastal Health,PNP,1233 Haro Street,Vancouver,V6E3Y5,Community Care & Assisted Living Act,Unknown,154,154,0,0,49.285771,-123.129,1,True,False,0.0
Haven Hill Retirement Centre,9C2CB,Interior Health,PFP,415 Haven Hill Road,Penticton,V2A4E9,Community Care & Assisted Living Act,Accredited,152,152,0,0,49.497463,-119.58078,0,True,True,0.02631578947368421
Hawthorne Seniors Care Community,992JA,Fraser Health,PNP,2111 Hawthorne Ave,Port Coquitlam,V3C1W3,Hospital Act,Unknown,131,115,8,0,49.2570112,-122.7792222,0,True,True,0.0
Henry Durand Manor,9A7GF,Interior Health,HA,803 9th St South,Golden,V0A1H0,Community Care & Assisted Living Act,Accredited,28,28,0,0,51.2961409,-116.9734392,0,True,True,0.0
Heritage Square,9BI83,Interior Health,PFP,3904 27th St.,Vernon,V1T4X7,Community Care & Assisted Living Act,Accredited,50,50,0,0,50.270687,-119.26823,0,True,True,0.0
Heritage Village,9C5BC,Fraser Health,HA,7525 Topaz Dr,Chilliwack,V2R3C9,Hospital Act,Accredited,100,64,12,3,49.1407098,-121.9665418,0,True,True,0.0
Heron Grove,92IIA,Interior Health,PNP,4900 - 20th Street,Vernon,V1T9W3,Community Care & Assisted Living Act,Accredited,76,76,0,0,50.28272,-119.26055,0,True,True,0.0
Hillside Village,92FC0,Interior Health,PNP,2891 15 Ave NE,Salmon Arm,V1E2B8,Community Care & Assisted Living Act,Accredited,112,112,0,0,50.71122329999999,-119.252111,0,True,True,0.0
Hilltop House,9AIC3,Vancouver Coastal Health,HA,38146 Behrner Drive,Squamish,V8B0C8,Community Care & Assisted Living Act,Accredited,86,82,2,0,49.699648,-123.14,0,True,True,0.0
Hilton Villa Seniors Community,917D8,Fraser Health,PFP,13525 Hilton Rd,Surrey,V3R5J3,Community Care & Assisted Living Act,Accredited,157,83,36,0,49.20242145,-122.84672725264092,0,True,True,0.01910828025477707
Hogg and Weatherby Pavilions - Peace Arch Hospital,9A58I,Fraser Health,HA,15521 Russell Ave.,White Rock,V4B2R4,Hospital Act,Unknown,234,30,78,12,49.03015955,-122.79236955,0,True,True,0.0
Holy Family Hospital,9A5D8,Vancouver Coastal Health,PNP,7801 Argyle St.,Vancouver,V5P3L6,Hospital Act,Accredited,126,9,6,21,49.213284,-123.073098,1,True,True,0.0
Holyrood Manor,91842,Fraser Health,PFP,22710 Holyrood Ave,Maple Ridge,V2X3E6,Hospital Act,Accredited,125,0,0,0,49.2122959,-122.5939042,0,False,True,0.016
Houston Health Centre,937C0,Northern Health,HA,3202 - 14th St,Houston,V0J1Z0,Community Care & Assisted Living Act,Accredited,6,6,0,0,54.39621800000001,-126.65281,0,False,False,0.0
Inglewood Care Centre,999J9,Vancouver Coastal Health,PFP,725 Inglewood Avenue,West Vancouver,V7T1X5,Hospital Act & Community Care & Assisted Living Act,Unknown,230,196,17,0,49.3354367,-123.1356688,1,True,True,0.0
Jackman Manor,9ADHD,Fraser Health,PNP,27477 28 Ave,Aldergrove,V4W3L9,Community Care & Assisted Living Act,Not Accredited,88,88,0,0,49.0538233,-122.4630403,0,True,True,0.0
Jackson House - Ashcroft Hospital and Health Centre,9A6I3,Interior Health,HA,700 Ash-Cache Creek Hwy,Ashcroft,V0K1A0,Hospital Act,Accredited,22,20,1,1,50.731887,-121.278471,0,True,True,0.0
James Bay Care Centre,9C426,Vancouver Island Health,PFP,336 Simcoe St.,Victoria,V8V1L2,Community Care & Assisted Living Act,Accredited,115,95,10,0,48.4173083,-123.376914,0,True,False,0.0
Joseph Creek Village,92IJA,Interior Health,PFP,1901 Willowbrook Dr,Cranbrook,V1C6S4,Community Care & Assisted Living Act,Unknown,102,102,0,0,49.5270986,-115.7452938,0,True,True,0.0196078431372549
Jubilee Lodge,9A69E,Northern Health,HA,1475 Edmonton Street,Prince George,V2M1S2,Hospital Act,Accredited,66,4,3,14,53.9120966,-122.7626315,0,True,True,0.0
Jubilee Multi Generational Housing Society,99C25,Fraser Health,PNP,3460 Kalyk Avenue,Burnaby,V5G3B2,Community Care & Assisted Living Act,Not Accredited,60,12,18,3,49.2528169,-123.01300249999998,0,True,True,0.0
Kamloops Seniors Village,92DCA,Interior Health,PFP,1220 Hugh Allan Dr.,Kamloops,V1S2B3,Community Care & Assisted Living Act,Accredited,114,114,0,0,50.6499607,-120.3729788,0,True,True,0.12280701754385964
Kimberley Special Care Home,91711,Interior Health,HA,386 2nd Ave,Kimberley,V1A2Z8,Community Care & Assisted Living Act,Accredited,55,49,3,0,49.6899979,-115.9896466,0,True,True,0.0
KinVillage West Court,9A4JH,Fraser Health,PNP,5410 10th Ave.,Delta,V4M3X8,Community Care & Assisted Living Act,Accredited,100,100,0,0,49.021494,-123.07365800000001,0,True,False,0.0
